Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_damage,Aircraft_Category,Registration_Number,Make,Model,Amateur_Built,Number_of_Engines,Engine_Type,FAR_Description,Schedule,Purpose_of_flight,Air_carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_phase_of_flight,Report_Status,Publication_Date,US_State,Abbreviation
20001211X11043,Accident,FTW98FA380,1998-09-11,"HOUSTON, TX",United States,29.607222,-95.158611,EFD,Ellington Field,Non-Fatal,Substantial,,N316UP,Boeing,767-34AF,No,2.0,Turbo Jet,,NSCH,,,0.0,0.0,0.0,2.0,IMC,Approach,Probable Cause,26-02-2007,,
20001211X11573,Accident,LAX99FA051,1998-12-17,"LOS ANGELES, CA",United States,33.948611,-118.413611,LAX,Los Angeles International,Non-Fatal,Substantial,,N554CL,Learjet,55B,No,2.0,Turbo Fan,,NSCH,Unknown,Clay Lacy (dba: Clay Lacy Aviation),0.0,0.0,0.0,7.0,VMC,Cruise,Probable Cause,25-11-2003,,
20001205X00119,Incident,ANC99IA027,1999-02-05,"FAIRBANKS, AK",United States,64.8,-147.866111,FAI,Fairbanks International,Incident,,,N934AS,Mcdonnell Douglas,MD-82,No,2.0,Turbo Fan,,SCHD,,"Alaska Air Group, Inc (dba: Alaska Airlines)",0.0,0.0,0.0,138.0,IMC,Takeoff,Probable Cause,01-07-2002,,
20001212X18855,Accident,NYC99FAMS3,1999-05-06,"PLYMOUTH, MA",United States,41.908889,-70.728611,,,Fatal(1),Destroyed,,N8235Z,Piper,PA28RT-201T,No,1.0,Reciprocating,,,Personal,,1.0,0.0,0.0,0.0,IMC,Maneuvering,Probable Cause,30-03-2004,,
20001212X19310,Accident,LAX99MA251,1999-07-13,"MINDEN, NV",United States,38.981667,-119.672778,,,Fatal(2),Destroyed,,N807BB,Schempp-hirth,NIMBUS 4DM,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,30-09-2002,,
20001212X19975,Accident,LAX00FA017,1999-10-15,"Ventura, CA",United States,34.294444,-119.335555,,,Fatal(2),Destroyed,,N5169B,Cessna,152,No,1.0,Reciprocating,,,Personal,,2.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,25-11-2003,,
20001212X20136,Accident,MIA00FA030,1999-11-27,"PHILADELPHIA, MS",United States,32.784444,-88.926111,,,Fatal(2),Destroyed,,N8144M,Bell,212,No,1.0,Turbo Shaft,,,Positioning,,2.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause,06-12-2002,,
20001212X20258,Accident,LAX00FA061,1999-12-28,"AVALON, CA",United States,33.416389,-118.465278,,,Non-Fatal,Destroyed,,N3593S,Aerospatiale,AS-350D,No,1.0,Turbo Shaft,,,Other Work Use,,0.0,1.0,6.0,0.0,VMC,Maneuvering,Probable Cause,23-10-2002,,
20001212X20387,Accident,LAX00LA071,2000-01-04,"CHANDLER, AZ",United States,33.266667,-111.8,,Memorial,Non-Fatal,Substantial,,N89678,Rotorway,Exec 90,Yes,1.0,Reciprocating,,,Instructional,,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,25-11-2003,,
20001212X20391,Accident,LAX00LA076,2000-01-18,"BRAWLEY, CA",United States,32.0,-115.0,,,Non-Fatal,Substantial,,N436SD,Bell,OH-58C,No,1.0,Turbo Shaft,,,Aerial Application,,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,06-12-2002,,
20001212X20536,Accident,MIA00LA091,2000-02-09,"MONROE, GA",United States,33.7825,-83.692777,D73,Monroe-Walton County,Non-Fatal,Substantial,,N101ET,Beech,F90,No,2.0,Turbo Prop,,,Business,,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,30-09-2003,,
20001212X20507,Incident,LAX00IA106,2000-02-21,"FRESNO, CA",United States,36.575,-119.091666,KFAT,Fresno-Yosemite International,Incident,,,N566SW,Embraer,120,No,2.0,Turbo Prop,,SCHD,Unknown,,0.0,0.0,0.0,20.0,VMC,Cruise,Probable Cause,28-04-2004,,
20001212X20667,Accident,LAX00LA116,2000-03-07,"WASCO, CA",United States,35.616667,-119.35,,,Non-Fatal,Substantial,,N1354X,Bell,47G-4A,No,1.0,Reciprocating,,,Aerial Application,,0.0,0.0,0.0,1.0,VMC,Climb,Probable Cause,18-04-2003,,
20001212X20573,Incident,ANC00IA034,2000-03-07,"FAIRBANKS, AK",United States,64.8,-147.866111,FAI,Fairbanks International,Incident,,,N949AS,Mcdonnell Douglas,MD-83,No,2.0,Turbo Fan,,SCHD,,Alaska Air Group (dba: Alaska Airlines),0.0,0.0,0.0,117.0,VMC,Takeoff,Probable Cause,01-07-2002,,
20001212X20657,Accident,LAX00FA123,2000-03-10,"ROUGH AND READY, CA",United States,39.366667,-121.25,,,Non-Fatal,Substantial,,N8351F,Boeing,369D,No,1.0,Turbo Shaft,,,Personal,,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause,30-05-2006,,
20001212X20658,Accident,LAX00FA126,2000-03-11,"FALLBROOK, CA",United States,33.354167,-117.250833,L18,Fallbrook Community Airpark,Fatal(1),Substantial,,N95996,Cessna,182Q,No,1.0,Reciprocating,,,Personal,,1.0,1.0,0.0,0.0,VMC,Takeoff,Probable Cause,25-11-2003,,
20001212X20664,Incident,LAX00IA127,2000-03-13,"SAN FRANCISCO, CA",United States,37.620278,-122.38,SFO,SAN FRANCISCO INTL,Incident,Minor,,N516DA,Boeing,727-232,No,3.0,Turbo Fan,,SCHD,Unknown,"Delta Airlines, Inc.",0.0,0.0,0.0,77.0,VMC,Takeoff,Probable Cause,31-10-2006,,
